sample_date,nhs,all,var2,nhs_name
2020-05-05,N99999999,9,0,Northern Ireland
2020-05-05,S99999999,32,0,Scotland
2020-05-05,W99999999,36,0,Wales
2020-05-06,E40000003,6,0,London
2020-05-06,E40000005,18,0,South East
2020-05-06,E40000006,43,0,South West
2020-05-06,E40000007,81,0,East of England
2020-05-06,E40000008,24,0,Midlands
2020-05-06,E40000009,48,0,North East and Yorkshire
2020-05-06,E40000010,4,0,North West
2020-05-06,N99999999,5,0,Northern Ireland
2020-05-06,S99999999,43,0,Scotland
2020-05-06,W99999999,57,0,Wales
2020-05-07,E40000003,9,0,London
2020-05-07,E40000005,9,0,South East
2020-05-07,E40000006,31,0,South West
2020-05-07,E40000007,66,0,East of England
2020-05-07,E40000008,9,0,Midlands
2020-05-07,E40000009,47,0,North East and Yorkshire
2020-05-07,E40000010,6,0,North West
2020-05-07,N99999999,5,0,Northern Ireland
2020-05-07,S99999999,50,0,Scotland
2020-05-07,W99999999,56,0,Wales
2020-05-08,E40000003,2,0,London
2020-05-08,E40000005,7,0,South East
2020-05-08,E40000006,24,0,South West
2020-05-08,E40000007,44,0,East of England
